"violation_id","root_cause_group","chain_id","child_table","child_row_id","parent_table","fk_column","fk_value","classification","is_real_business","is_test_demo","parent_recoverable","safe_detach","schema_change_required","fk_nullable","evidence","recommended_action","risk_level","CURRENT_WRITE_PATH","REPRODUCIBLE_RISK","backup_evidence","execution"
"FK-11","GROUP-01","OPP-1","v06_timeline_entries","2","v06_opportunities","opportunity_id","1","CONFIRMED_TEST_DEMO_ORPHAN","NO","YES","NO_PARENT_ROW_FOUND","NO","NO","NO","当前行 阶段从「lead」变更为「contacted」；2026-07-03 17:05:10.577019；actor/created_by=0。所属链同时具备 Test Opp→lead/contacted→test follow-up→Test Task 和四类 Timeline，同秒级顺序吻合 scripts/verify_platform_mvp_v1.py:148-153 的固定验证指纹。不是仅凭名称；Task is_demo=0 不代表真实。已检查备份未找到该父行，但对应 created Timeline 及同链 6 条记录证明测试创建链。scripts/clean_test_opp.py:3,16 仅删除父且未开 FK，可解释孤儿机制；具体历史执行者/日志未获证，不作已证实断言。","DELETE_TEST_CHAIN","LOW_AFTER_AUTHORIZATION_AND_RECHECK","scripts/verify_platform_mvp_v1.py:187 main 已用 temporary_database；app/services/platform_service.py:711-739→UnifiedOpportunityService(detail 校验)+app/database.py FK ON。scripts/clean_test_opp.py 仍可手工直连 data/app.db 仅删父；不是自动运行证据。","YES_MANUAL_CLEAN_SCRIPT_FK_OFF","data/backups/app_before_001_core_domain_unification_20260710_110104_386155.db; data/backups/app_v06c_fk_audit_20260704_171951.db","NOT_EXECUTED"
"FK-12","GROUP-01","OPP-1","v06_timeline_entries","3","v06_opportunities","opportunity_id","1","CONFIRMED_TEST_DEMO_ORPHAN","NO","YES","NO_PARENT_ROW_FOUND","NO","NO","NO","当前行 跟进记录：test follow-up；2026-07-03 17:05:10.583134；actor/created_by=0。所属链同时具备 Test Opp→lead/contacted→test follow-up→Test Task 和四类 Timeline，同秒级顺序吻合 scripts/verify_platform_mvp_v1.py:148-153 的固定验证指纹。不是仅凭名称；Task is_demo=0 不代表真实。已检查备份未找到该父行，但对应 created Timeline 及同链 6 条记录证明测试创建链。scripts/clean_test_opp.py:3,16 仅删除父且未开 FK，可解释孤儿机制；具体历史执行者/日志未获证，不作已证实断言。","DELETE_TEST_CHAIN","LOW_AFTER_AUTHORIZATION_AND_RECHECK","scripts/verify_platform_mvp_v1.py:187 main 已用 temporary_database；app/services/platform_service.py:711-739→UnifiedOpportunityService(detail 校验)+app/database.py FK ON。scripts/clean_test_opp.py 仍可手工直连 data/app.db 仅删父；不是自动运行证据。","YES_MANUAL_CLEAN_SCRIPT_FK_OFF","data/backups/app_before_001_core_domain_unification_20260710_110104_386155.db; data/backups/app_v06c_fk_audit_20260704_171951.db","NOT_EXECUTED"
"FK-13","GROUP-01","OPP-1","v06_timeline_entries","4","v06_opportunities","opportunity_id","1","CONFIRMED_TEST_DEMO_ORPHAN","NO","YES","NO_PARENT_ROW_FOUND","NO","NO","NO","当前行 任务创建：Test Task；2026-07-03 17:05:10.589970；actor/created_by=0。所属链同时具备 Test Opp→lead/contacted→test follow-up→Test Task 和四类 Timeline，同秒级顺序吻合 scripts/verify_platform_mvp_v1.py:148-153 的固定验证指纹。不是仅凭名称；Task is_demo=0 不代表真实。已检查备份未找到该父行，但对应 created Timeline 及同链 6 条记录证明测试创建链。scripts/clean_test_opp.py:3,16 仅删除父且未开 FK，可解释孤儿机制；具体历史执行者/日志未获证，不作已证实断言。","DELETE_TEST_CHAIN","LOW_AFTER_AUTHORIZATION_AND_RECHECK","scripts/verify_platform_mvp_v1.py:187 main 已用 temporary_database；app/services/platform_service.py:711-739→UnifiedOpportunityService(detail 校验)+app/database.py FK ON。scripts/clean_test_opp.py 仍可手工直连 data/app.db 仅删父；不是自动运行证据。","YES_MANUAL_CLEAN_SCRIPT_FK_OFF","data/backups/app_before_001_core_domain_unification_20260710_110104_386155.db; data/backups/app_v06c_fk_audit_20260704_171951.db","NOT_EXECUTED"
"FK-14","GROUP-01","OPP-12","v06_timeline_entries","23","v06_opportunities","opportunity_id","12","CONFIRMED_TEST_DEMO_ORPHAN","NO","YES","NO_PARENT_ROW_FOUND","NO","NO","NO","当前行 合作机会「Test Opp」已创建；2026-07-03 22:11:05.005771；actor/created_by=0。所属链同时具备 Test Opp→lead/contacted→test follow-up→Test Task 和四类 Timeline，同秒级顺序吻合 scripts/verify_platform_mvp_v1.py:148-153 的固定验证指纹。不是仅凭名称；Task is_demo=0 不代表真实。已检查备份未找到该父行，但对应 created Timeline 及同链 6 条记录证明测试创建链。scripts/clean_test_opp.py:3,16 仅删除父且未开 FK，可解释孤儿机制；具体历史执行者/日志未获证，不作已证实断言。","DELETE_TEST_CHAIN","LOW_AFTER_AUTHORIZATION_AND_RECHECK","scripts/verify_platform_mvp_v1.py:187 main 已用 temporary_database；app/services/platform_service.py:711-739→UnifiedOpportunityService(detail 校验)+app/database.py FK ON。scripts/clean_test_opp.py 仍可手工直连 data/app.db 仅删父；不是自动运行证据。","YES_MANUAL_CLEAN_SCRIPT_FK_OFF","data/backups/app_before_001_core_domain_unification_20260710_110104_386155.db; data/backups/app_v06c_fk_audit_20260704_171951.db","NOT_EXECUTED"
"FK-15","GROUP-01","OPP-12","v06_timeline_entries","24","v06_opportunities","opportunity_id","12","CONFIRMED_TEST_DEMO_ORPHAN","NO","YES","NO_PARENT_ROW_FOUND","NO","NO","NO","当前行 阶段从「lead」变更为「contacted」；2026-07-03 22:11:05.016409；actor/created_by=0。所属链同时具备 Test Opp→lead/contacted→test follow-up→Test Task 和四类 Timeline，同秒级顺序吻合 scripts/verify_platform_mvp_v1.py:148-153 的固定验证指纹。不是仅凭名称；Task is_demo=0 不代表真实。已检查备份未找到该父行，但对应 created Timeline 及同链 6 条记录证明测试创建链。scripts/clean_test_opp.py:3,16 仅删除父且未开 FK，可解释孤儿机制；具体历史执行者/日志未获证，不作已证实断言。","DELETE_TEST_CHAIN","LOW_AFTER_AUTHORIZATION_AND_RECHECK","scripts/verify_platform_mvp_v1.py:187 main 已用 temporary_database；app/services/platform_service.py:711-739→UnifiedOpportunityService(detail 校验)+app/database.py FK ON。scripts/clean_test_opp.py 仍可手工直连 data/app.db 仅删父；不是自动运行证据。","YES_MANUAL_CLEAN_SCRIPT_FK_OFF","data/backups/app_before_001_core_domain_unification_20260710_110104_386155.db; data/backups/app_v06c_fk_audit_20260704_171951.db","NOT_EXECUTED"
"FK-16","GROUP-01","OPP-12","v06_timeline_entries","25","v06_opportunities","opportunity_id","12","CONFIRMED_TEST_DEMO_ORPHAN","NO","YES","NO_PARENT_ROW_FOUND","NO","NO","NO","当前行 跟进记录：test follow-up；2026-07-03 22:11:05.029755；actor/created_by=0。所属链同时具备 Test Opp→lead/contacted→test follow-up→Test Task 和四类 Timeline，同秒级顺序吻合 scripts/verify_platform_mvp_v1.py:148-153 的固定验证指纹。不是仅凭名称；Task is_demo=0 不代表真实。已检查备份未找到该父行，但对应 created Timeline 及同链 6 条记录证明测试创建链。scripts/clean_test_opp.py:3,16 仅删除父且未开 FK，可解释孤儿机制；具体历史执行者/日志未获证，不作已证实断言。","DELETE_TEST_CHAIN","LOW_AFTER_AUTHORIZATION_AND_RECHECK","scripts/verify_platform_mvp_v1.py:187 main 已用 temporary_database；app/services/platform_service.py:711-739→UnifiedOpportunityService(detail 校验)+app/database.py FK ON。scripts/clean_test_opp.py 仍可手工直连 data/app.db 仅删父；不是自动运行证据。","YES_MANUAL_CLEAN_SCRIPT_FK_OFF","data/backups/app_before_001_core_domain_unification_20260710_110104_386155.db; data/backups/app_v06c_fk_audit_20260704_171951.db","NOT_EXECUTED"
"FK-17","GROUP-01","OPP-12","v06_timeline_entries","26","v06_opportunities","opportunity_id","12","CONFIRMED_TEST_DEMO_ORPHAN","NO","YES","NO_PARENT_ROW_FOUND","NO","NO","NO","当前行 任务创建：Test Task；2026-07-03 22:11:05.043751；actor/created_by=0。所属链同时具备 Test Opp→lead/contacted→test follow-up→Test Task 和四类 Timeline，同秒级顺序吻合 scripts/verify_platform_mvp_v1.py:148-153 的固定验证指纹。不是仅凭名称；Task is_demo=0 不代表真实。已检查备份未找到该父行，但对应 created Timeline 及同链 6 条记录证明测试创建链。scripts/clean_test_opp.py:3,16 仅删除父且未开 FK，可解释孤儿机制；具体历史执行者/日志未获证，不作已证实断言。","DELETE_TEST_CHAIN","LOW_AFTER_AUTHORIZATION_AND_RECHECK","scripts/verify_platform_mvp_v1.py:187 main 已用 temporary_database；app/services/platform_service.py:711-739→UnifiedOpportunityService(detail 校验)+app/database.py FK ON。scripts/clean_test_opp.py 仍可手工直连 data/app.db 仅删父；不是自动运行证据。","YES_MANUAL_CLEAN_SCRIPT_FK_OFF","data/backups/app_before_001_core_domain_unification_20260710_110104_386155.db; data/backups/app_v06c_fk_audit_20260704_171951.db","NOT_EXECUTED"
"FK-18","GROUP-01","OPP-13","v06_timeline_entries","27","v06_opportunities","opportunity_id","13","CONFIRMED_TEST_DEMO_ORPHAN","NO","YES","NO_PARENT_ROW_FOUND","NO","NO","NO","当前行 合作机会「Test Opp」已创建；2026-07-03 22:28:33.752353；actor/created_by=0。所属链同时具备 Test Opp→lead/contacted→test follow-up→Test Task 和四类 Timeline，同秒级顺序吻合 scripts/verify_platform_mvp_v1.py:148-153 的固定验证指纹。不是仅凭名称；Task is_demo=0 不代表真实。已检查备份未找到该父行，但对应 created Timeline 及同链 6 条记录证明测试创建链。scripts/clean_test_opp.py:3,16 仅删除父且未开 FK，可解释孤儿机制；具体历史执行者/日志未获证，不作已证实断言。","DELETE_TEST_CHAIN","LOW_AFTER_AUTHORIZATION_AND_RECHECK","scripts/verify_platform_mvp_v1.py:187 main 已用 temporary_database；app/services/platform_service.py:711-739→UnifiedOpportunityService(detail 校验)+app/database.py FK ON。scripts/clean_test_opp.py 仍可手工直连 data/app.db 仅删父；不是自动运行证据。","YES_MANUAL_CLEAN_SCRIPT_FK_OFF","data/backups/app_before_001_core_domain_unification_20260710_110104_386155.db; data/backups/app_v06c_fk_audit_20260704_171951.db","NOT_EXECUTED"
"FK-19","GROUP-01","OPP-13","v06_timeline_entries","28","v06_opportunities","opportunity_id","13","CONFIRMED_TEST_DEMO_ORPHAN","NO","YES","NO_PARENT_ROW_FOUND","NO","NO","NO","当前行 阶段从「lead」变更为「contacted」；2026-07-03 22:28:33.758049；actor/created_by=0。所属链同时具备 Test Opp→lead/contacted→test follow-up→Test Task 和四类 Timeline，同秒级顺序吻合 scripts/verify_platform_mvp_v1.py:148-153 的固定验证指纹。不是仅凭名称；Task is_demo=0 不代表真实。已检查备份未找到该父行，但对应 created Timeline 及同链 6 条记录证明测试创建链。scripts/clean_test_opp.py:3,16 仅删除父且未开 FK，可解释孤儿机制；具体历史执行者/日志未获证，不作已证实断言。","DELETE_TEST_CHAIN","LOW_AFTER_AUTHORIZATION_AND_RECHECK","scripts/verify_platform_mvp_v1.py:187 main 已用 temporary_database；app/services/platform_service.py:711-739→UnifiedOpportunityService(detail 校验)+app/database.py FK ON。scripts/clean_test_opp.py 仍可手工直连 data/app.db 仅删父；不是自动运行证据。","YES_MANUAL_CLEAN_SCRIPT_FK_OFF","data/backups/app_before_001_core_domain_unification_20260710_110104_386155.db; data/backups/app_v06c_fk_audit_20260704_171951.db","NOT_EXECUTED"
"FK-20","GROUP-01","OPP-13","v06_timeline_entries","29","v06_opportunities","opportunity_id","13","CONFIRMED_TEST_DEMO_ORPHAN","NO","YES","NO_PARENT_ROW_FOUND","NO","NO","NO","当前行 跟进记录：test follow-up；2026-07-03 22:28:33.768136；actor/created_by=0。所属链同时具备 Test Opp→lead/contacted→test follow-up→Test Task 和四类 Timeline，同秒级顺序吻合 scripts/verify_platform_mvp_v1.py:148-153 的固定验证指纹。不是仅凭名称；Task is_demo=0 不代表真实。已检查备份未找到该父行，但对应 created Timeline 及同链 6 条记录证明测试创建链。scripts/clean_test_opp.py:3,16 仅删除父且未开 FK，可解释孤儿机制；具体历史执行者/日志未获证，不作已证实断言。","DELETE_TEST_CHAIN","LOW_AFTER_AUTHORIZATION_AND_RECHECK","scripts/verify_platform_mvp_v1.py:187 main 已用 temporary_database；app/services/platform_service.py:711-739→UnifiedOpportunityService(detail 校验)+app/database.py FK ON。scripts/clean_test_opp.py 仍可手工直连 data/app.db 仅删父；不是自动运行证据。","YES_MANUAL_CLEAN_SCRIPT_FK_OFF","data/backups/app_before_001_core_domain_unification_20260710_110104_386155.db; data/backups/app_v06c_fk_audit_20260704_171951.db","NOT_EXECUTED"
"FK-21","GROUP-01","OPP-13","v06_timeline_entries","30","v06_opportunities","opportunity_id","13","CONFIRMED_TEST_DEMO_ORPHAN","NO","YES","NO_PARENT_ROW_FOUND","NO","NO","NO","当前行 任务创建：Test Task；2026-07-03 22:28:33.775314；actor/created_by=0。所属链同时具备 Test Opp→lead/contacted→test follow-up→Test Task 和四类 Timeline，同秒级顺序吻合 scripts/verify_platform_mvp_v1.py:148-153 的固定验证指纹。不是仅凭名称；Task is_demo=0 不代表真实。已检查备份未找到该父行，但对应 created Timeline 及同链 6 条记录证明测试创建链。scripts/clean_test_opp.py:3,16 仅删除父且未开 FK，可解释孤儿机制；具体历史执行者/日志未获证，不作已证实断言。","DELETE_TEST_CHAIN","LOW_AFTER_AUTHORIZATION_AND_RECHECK","scripts/verify_platform_mvp_v1.py:187 main 已用 temporary_database；app/services/platform_service.py:711-739→UnifiedOpportunityService(detail 校验)+app/database.py FK ON。scripts/clean_test_opp.py 仍可手工直连 data/app.db 仅删父；不是自动运行证据。","YES_MANUAL_CLEAN_SCRIPT_FK_OFF","data/backups/app_before_001_core_domain_unification_20260710_110104_386155.db; data/backups/app_v06c_fk_audit_20260704_171951.db","NOT_EXECUTED"
"FK-22","GROUP-01","OPP-14","v06_timeline_entries","31","v06_opportunities","opportunity_id","14","CONFIRMED_TEST_DEMO_ORPHAN","NO","YES","TEST_SNAPSHOT_ONLY_DO_NOT_RESTORE","NO","NO","NO","当前行 Opportunity created: Test Opp；2026-07-05 08:26:32.994235；actor/created_by=0。所属链同时具备 Test Opp→lead/contacted→test follow-up→Test Task 和四类 Timeline，同秒级顺序吻合 scripts/verify_platform_mvp_v1.py:148-153 的固定验证指纹。不是仅凭名称；Task is_demo=0 不代表真实。备份保留父 #14/contacted/is_demo=0，24 条子记录历史列全匹配。scripts/clean_test_opp.py:3,16 仅删除父且未开 FK，可解释孤儿机制；具体历史执行者/日志未获证，不作已证实断言。","DELETE_TEST_CHAIN","LOW_AFTER_AUTHORIZATION_AND_RECHECK","scripts/verify_platform_mvp_v1.py:187 main 已用 temporary_database；app/services/platform_service.py:711-739→UnifiedOpportunityService(detail 校验)+app/database.py FK ON。scripts/clean_test_opp.py 仍可手工直连 data/app.db 仅删父；不是自动运行证据。","YES_MANUAL_CLEAN_SCRIPT_FK_OFF","data/backups/app_before_001_core_domain_unification_20260710_110104_386155.db","NOT_EXECUTED"
