"table","record_id","membership_id_before","membership_id_after","classification","action","old_fk_target","new_fk_target","reason","root_cause_group","opportunity_id","executed_at","field","before_value","after_value"
"v06_timeline_entries","23","","","CONFIRMED_TEST_DEMO_ORPHAN","DELETE","","","Authorized GROUP-01 whitelist; reviewed row unchanged before deletion; PRE ASTRA_R1_PRE_GROUP01_CLEANUP_20260914_090701.db; FK ON transaction verified.","GROUP-01","12","2026-09-14","","",""
"v06_timeline_entries","24","","","CONFIRMED_TEST_DEMO_ORPHAN","DELETE","","","Authorized GROUP-01 whitelist; reviewed row unchanged before deletion; PRE ASTRA_R1_PRE_GROUP01_CLEANUP_20260914_090701.db; FK ON transaction verified.","GROUP-01","12","2026-09-14","","",""
"v06_timeline_entries","25","","","CONFIRMED_TEST_DEMO_ORPHAN","DELETE","","","Authorized GROUP-01 whitelist; reviewed row unchanged before deletion; PRE ASTRA_R1_PRE_GROUP01_CLEANUP_20260914_090701.db; FK ON transaction verified.","GROUP-01","12","2026-09-14","","",""
"v06_timeline_entries","26","","","CONFIRMED_TEST_DEMO_ORPHAN","DELETE","","","Authorized GROUP-01 whitelist; reviewed row unchanged before deletion; PRE ASTRA_R1_PRE_GROUP01_CLEANUP_20260914_090701.db; FK ON transaction verified.","GROUP-01","12","2026-09-14","","",""
"v06_timeline_entries","27","","","CONFIRMED_TEST_DEMO_ORPHAN","DELETE","","","Authorized GROUP-01 whitelist; reviewed row unchanged before deletion; PRE ASTRA_R1_PRE_GROUP01_CLEANUP_20260914_090701.db; FK ON transaction verified.","GROUP-01","13","2026-09-14","","",""
"v06_timeline_entries","28","","","CONFIRMED_TEST_DEMO_ORPHAN","DELETE","","","Authorized GROUP-01 whitelist; reviewed row unchanged before deletion; PRE ASTRA_R1_PRE_GROUP01_CLEANUP_20260914_090701.db; FK ON transaction verified.","GROUP-01","13","2026-09-14","","",""
"v06_timeline_entries","29","","","CONFIRMED_TEST_DEMO_ORPHAN","DELETE","","","Authorized GROUP-01 whitelist; reviewed row unchanged before deletion; PRE ASTRA_R1_PRE_GROUP01_CLEANUP_20260914_090701.db; FK ON transaction verified.","GROUP-01","13","2026-09-14","","",""
"v06_timeline_entries","30","","","CONFIRMED_TEST_DEMO_ORPHAN","DELETE","","","Authorized GROUP-01 whitelist; reviewed row unchanged before deletion; PRE ASTRA_R1_PRE_GROUP01_CLEANUP_20260914_090701.db; FK ON transaction verified.","GROUP-01","13","2026-09-14","","",""
"v06_timeline_entries","31","","","CONFIRMED_TEST_DEMO_ORPHAN","DELETE","","","Authorized GROUP-01 whitelist; reviewed row unchanged before deletion; PRE ASTRA_R1_PRE_GROUP01_CLEANUP_20260914_090701.db; FK ON transaction verified.","GROUP-01","14","2026-09-14","","",""
"v06_timeline_entries","32","","","CONFIRMED_TEST_DEMO_ORPHAN","DELETE","","","Authorized GROUP-01 whitelist; reviewed row unchanged before deletion; PRE ASTRA_R1_PRE_GROUP01_CLEANUP_20260914_090701.db; FK ON transaction verified.","GROUP-01","14","2026-09-14","","",""
"v06_timeline_entries","33","","","CONFIRMED_TEST_DEMO_ORPHAN","DELETE","","","Authorized GROUP-01 whitelist; reviewed row unchanged before deletion; PRE ASTRA_R1_PRE_GROUP01_CLEANUP_20260914_090701.db; FK ON transaction verified.","GROUP-01","14","2026-09-14","","",""
"v06_timeline_entries","34","","","CONFIRMED_TEST_DEMO_ORPHAN","DELETE","","","Authorized GROUP-01 whitelist; reviewed row unchanged before deletion; PRE ASTRA_R1_PRE_GROUP01_CLEANUP_20260914_090701.db; FK ON transaction verified.","GROUP-01","14","2026-09-14","","",""
"v04g_monitoring_sources","2","","","SOURCE_HEALTH_WITHOUT_SUCCESS_EVIDENCE","UPDATE","","","runs #2/#3 robots_denied; #4 skipped; no success/snapshot/item/probe; Only failed access evidence; enabling cannot override failure; PRE=ASTRA_R1_PRE_SOURCE_HEALTH_20260916_112556.db","SOURCE_HEALTH","","2026-09-16T11:25:58","health_status","healthy","degraded"
"v04g_monitoring_sources","20","","","SOURCE_HEALTH_WITHOUT_SUCCESS_EVIDENCE","UPDATE","","","runs=0 (only pending if any); snapshots/items/rule tests/health scores=0; no stored probe or success timestamp; No valid success evidence; enabling is not a probe; PRE=ASTRA_R1_PRE_SOURCE_HEALTH_20260916_112556.db","SOURCE_HEALTH","","2026-09-16T11:25:58","health_status","healthy","unknown"
"v04g_monitoring_sources","21","","","SOURCE_HEALTH_WITHOUT_SUCCESS_EVIDENCE","UPDATE","","","runs=0 (only pending if any); snapshots/items/rule tests/health scores=0; no stored probe or success timestamp; No valid success evidence; enabling is not a probe; PRE=ASTRA_R1_PRE_SOURCE_HEALTH_20260916_112556.db","SOURCE_HEALTH","","2026-09-16T11:25:58","health_status","healthy","unknown"
"v04g_monitoring_sources","22","","","SOURCE_HEALTH_WITHOUT_SUCCESS_EVIDENCE","UPDATE","","","runs=0 (only pending if any); snapshots/items/rule tests/health scores=0; no stored probe or success timestamp; No valid success evidence; enabling is not a probe; PRE=ASTRA_R1_PRE_SOURCE_HEALTH_20260916_112556.db","SOURCE_HEALTH","","2026-09-16T11:25:58","health_status","healthy","unknown"
"v04g_monitoring_sources","23","","","SOURCE_HEALTH_WITHOUT_SUCCESS_EVIDENCE","UPDATE","","","runs=0 (only pending if any); snapshots/items/rule tests/health scores=0; no stored probe or success timestamp; No valid success evidence; enabling is not a probe; PRE=ASTRA_R1_PRE_SOURCE_HEALTH_20260916_112556.db","SOURCE_HEALTH","","2026-09-16T11:25:58","health_status","healthy","unknown"
"v04g_monitoring_sources","24","","","SOURCE_HEALTH_WITHOUT_SUCCESS_EVIDENCE","UPDATE","","","runs=0 (only pending if any); snapshots/items/rule tests/health scores=0; no stored probe or success timestamp; No valid success evidence; enabling is not a probe; PRE=ASTRA_R1_PRE_SOURCE_HEALTH_20260916_112556.db","SOURCE_HEALTH","","2026-09-16T11:25:58","health_status","healthy","unknown"
"v04g_monitoring_sources","25","","","SOURCE_HEALTH_WITHOUT_SUCCESS_EVIDENCE","UPDATE","","","runs=0 (only pending if any); snapshots/items/rule tests/health scores=0; no stored probe or success timestamp; No valid success evidence; enabling is not a probe; PRE=ASTRA_R1_PRE_SOURCE_HEALTH_20260916_112556.db","SOURCE_HEALTH","","2026-09-16T11:25:58","health_status","healthy","unknown"
"v04g_monitoring_sources","93","","","SOURCE_HEALTH_WITHOUT_SUCCESS_EVIDENCE","UPDATE","","","runs=0 (only pending if any); snapshots/items/rule tests/health scores=0; no stored probe or success timestamp; No valid success evidence; enabling is not a probe; PRE=ASTRA_R1_PRE_SOURCE_HEALTH_20260916_112556.db","SOURCE_HEALTH","","2026-09-16T11:25:58","health_status","healthy","unknown"
"v04g_monitoring_sources","110","","","SOURCE_HEALTH_WITHOUT_SUCCESS_EVIDENCE","UPDATE","","","runs=0 (only pending if any); snapshots/items/rule tests/health scores=0; no stored probe or success timestamp; No valid success evidence; enabling is not a probe; PRE=ASTRA_R1_PRE_SOURCE_HEALTH_20260916_112556.db","SOURCE_HEALTH","","2026-09-16T11:25:58","health_status","healthy","unknown"
"v04g_monitoring_sources","116","","","SOURCE_HEALTH_WITHOUT_SUCCESS_EVIDENCE","UPDATE","","","runs=0 (only pending if any); snapshots/items/rule tests/health scores=0; no stored probe or success timestamp; No valid success evidence; enabling is not a probe; PRE=ASTRA_R1_PRE_SOURCE_HEALTH_20260916_112556.db","SOURCE_HEALTH","","2026-09-16T11:25:58","health_status","healthy","unknown"
"v04g_monitoring_sources","128","","","SOURCE_HEALTH_WITHOUT_SUCCESS_EVIDENCE","UPDATE","","","runs=0 (only pending if any); snapshots/items/rule tests/health scores=0; no stored probe or success timestamp; No valid success evidence; enabling is not a probe; PRE=ASTRA_R1_PRE_SOURCE_HEALTH_20260916_112556.db","SOURCE_HEALTH","","2026-09-16T11:25:58","health_status","healthy","unknown"
"v04g_monitoring_sources","129","","","SOURCE_HEALTH_WITHOUT_SUCCESS_EVIDENCE","UPDATE","","","runs=0 (only pending if any); snapshots/items/rule tests/health scores=0; no stored probe or success timestamp; No valid success evidence; enabling is not a probe; PRE=ASTRA_R1_PRE_SOURCE_HEALTH_20260916_112556.db","SOURCE_HEALTH","","2026-09-16T11:25:58","health_status","healthy","unknown"
"v04g_monitoring_sources","130","","","SOURCE_HEALTH_WITHOUT_SUCCESS_EVIDENCE","UPDATE","","","runs=0 (only pending if any); snapshots/items/rule tests/health scores=0; no stored probe or success timestamp; No valid success evidence; enabling is not a probe; PRE=ASTRA_R1_PRE_SOURCE_HEALTH_20260916_112556.db","SOURCE_HEALTH","","2026-09-16T11:25:58","health_status","healthy","unknown"
"v04g_monitoring_sources","131","","","SOURCE_HEALTH_WITHOUT_SUCCESS_EVIDENCE","UPDATE","","","runs=0 (only pending if any); snapshots/items/rule tests/health scores=0; no stored probe or success timestamp; No valid success evidence; enabling is not a probe; PRE=ASTRA_R1_PRE_SOURCE_HEALTH_20260916_112556.db","SOURCE_HEALTH","","2026-09-16T11:25:58","health_status","healthy","unknown"
"v04g_monitoring_sources","132","","","SOURCE_HEALTH_WITHOUT_SUCCESS_EVIDENCE","UPDATE","","","runs=0 (only pending if any); snapshots/items/rule tests/health scores=0; no stored probe or success timestamp; No valid success evidence; enabling is not a probe; PRE=ASTRA_R1_PRE_SOURCE_HEALTH_20260916_112556.db","SOURCE_HEALTH","","2026-09-16T11:25:58","health_status","healthy","unknown"
"v04g_monitoring_sources","133","","","SOURCE_HEALTH_WITHOUT_SUCCESS_EVIDENCE","UPDATE","","","runs=0 (only pending if any); snapshots/items/rule tests/health scores=0; no stored probe or success timestamp; No valid success evidence; enabling is not a probe; PRE=ASTRA_R1_PRE_SOURCE_HEALTH_20260916_112556.db","SOURCE_HEALTH","","2026-09-16T11:25:58","health_status","healthy","unknown"
"v04g_monitoring_sources","134","","","SOURCE_HEALTH_WITHOUT_SUCCESS_EVIDENCE","UPDATE","","","runs=0 (only pending if any); snapshots/items/rule tests/health scores=0; no stored probe or success timestamp; No valid success evidence; enabling is not a probe; PRE=ASTRA_R1_PRE_SOURCE_HEALTH_20260916_112556.db","SOURCE_HEALTH","","2026-09-16T11:25:58","health_status","healthy","unknown"
"v04g_monitoring_sources","135","","","SOURCE_HEALTH_WITHOUT_SUCCESS_EVIDENCE","UPDATE","","","runs=1 (only pending if any); snapshots/items/rule tests/health scores=0; no stored probe or success timestamp; No valid success evidence; enabling is not a probe; PRE=ASTRA_R1_PRE_SOURCE_HEALTH_20260916_112556.db","SOURCE_HEALTH","","2026-09-16T11:25:58","health_status","healthy","unknown"
"v04g_monitoring_sources","136","","","SOURCE_HEALTH_WITHOUT_SUCCESS_EVIDENCE","UPDATE","","","runs=1 (only pending if any); snapshots/items/rule tests/health scores=0; no stored probe or success timestamp; No valid success evidence; enabling is not a probe; PRE=ASTRA_R1_PRE_SOURCE_HEALTH_20260916_112556.db","SOURCE_HEALTH","","2026-09-16T11:25:58","health_status","healthy","unknown"
"v04g_monitoring_sources","137","","","SOURCE_HEALTH_WITHOUT_SUCCESS_EVIDENCE","UPDATE","","","runs=1 (only pending if any); snapshots/items/rule tests/health scores=0; no stored probe or success timestamp; No valid success evidence; enabling is not a probe; PRE=ASTRA_R1_PRE_SOURCE_HEALTH_20260916_112556.db","SOURCE_HEALTH","","2026-09-16T11:25:58","health_status","healthy","unknown"
"v04g_monitoring_sources","138","","","SOURCE_HEALTH_WITHOUT_SUCCESS_EVIDENCE","UPDATE","","","runs=1 (only pending if any); snapshots/items/rule tests/health scores=0; no stored probe or success timestamp; No valid success evidence; enabling is not a probe; PRE=ASTRA_R1_PRE_SOURCE_HEALTH_20260916_112556.db","SOURCE_HEALTH","","2026-09-16T11:25:58","health_status","healthy","unknown"
"v04g_monitoring_sources","139","","","SOURCE_HEALTH_WITHOUT_SUCCESS_EVIDENCE","UPDATE","","","runs=1 (only pending if any); snapshots/items/rule tests/health scores=0; no stored probe or success timestamp; No valid success evidence; enabling is not a probe; PRE=ASTRA_R1_PRE_SOURCE_HEALTH_20260916_112556.db","SOURCE_HEALTH","","2026-09-16T11:25:58","health_status","healthy","unknown"
"v04g_monitoring_sources","140","","","SOURCE_HEALTH_WITHOUT_SUCCESS_EVIDENCE","UPDATE","","","runs=1 (only pending if any); snapshots/items/rule tests/health scores=0; no stored probe or success timestamp; No valid success evidence; enabling is not a probe; PRE=ASTRA_R1_PRE_SOURCE_HEALTH_20260916_112556.db","SOURCE_HEALTH","","2026-09-16T11:25:58","health_status","healthy","unknown"
"v04g_monitoring_sources","141","","","SOURCE_HEALTH_WITHOUT_SUCCESS_EVIDENCE","UPDATE","","","runs=1 (only pending if any); snapshots/items/rule tests/health scores=0; no stored probe or success timestamp; No valid success evidence; enabling is not a probe; PRE=ASTRA_R1_PRE_SOURCE_HEALTH_20260916_112556.db","SOURCE_HEALTH","","2026-09-16T11:25:58","health_status","healthy","unknown"
"v04g_monitoring_sources","142","","","SOURCE_HEALTH_WITHOUT_SUCCESS_EVIDENCE","UPDATE","","","runs=1 (only pending if any); snapshots/items/rule tests/health scores=0; no stored probe or success timestamp; No valid success evidence; enabling is not a probe; PRE=ASTRA_R1_PRE_SOURCE_HEALTH_20260916_112556.db","SOURCE_HEALTH","","2026-09-16T11:25:58","health_status","healthy","unknown"
"v04g_monitoring_sources","143","","","SOURCE_HEALTH_WITHOUT_SUCCESS_EVIDENCE","UPDATE","","","runs=1 (only pending if any); snapshots/items/rule tests/health scores=0; no stored probe or success timestamp; No valid success evidence; enabling is not a probe; PRE=ASTRA_R1_PRE_SOURCE_HEALTH_20260916_112556.db","SOURCE_HEALTH","","2026-09-16T11:25:58","health_status","healthy","unknown"
"v04g_monitoring_sources","144","","","SOURCE_HEALTH_WITHOUT_SUCCESS_EVIDENCE","UPDATE","","","runs=1 (only pending if any); snapshots/items/rule tests/health scores=0; no stored probe or success timestamp; No valid success evidence; enabling is not a probe; PRE=ASTRA_R1_PRE_SOURCE_HEALTH_20260916_112556.db","SOURCE_HEALTH","","2026-09-16T11:25:58","health_status","healthy","unknown"
