sha256,paths,count,size
612588fe994e208ecbda53fc6e88ae2ba0b9f6c41d39a9341176a5950a10f4eb,scripts/apply_v04b.py;patches/v05M-R_异常中断恢复模板乱码与全站回归修复_完整覆盖补丁_staging/scripts/apply_v04b.py;backup_before_v05m_recovery_20260702_091828/scripts/apply_v04b.py;backups/code_before_v06i_nav_crawl_20260706_162150/scripts/apply_v04b.py;backups/code_before_v06i_intelligence_20260706_151858/scripts/apply_v04b.py;backups/code_before_v06e_20260706_115352/scripts/apply_v04b.py,6,4843
47574779f9700e822fc07af6adf8de1c93959fa84036c7959b0110f67f6e7481,scripts/audit_suspicious_entities.py;patches/v05M-R_异常中断恢复模板乱码与全站回归修复_完整覆盖补丁_staging/scripts/audit_suspicious_entities.py;backup_before_v05m_recovery_20260702_091828/scripts/audit_suspicious_entities.py;backups/code_before_v06i_nav_crawl_20260706_162150/scripts/audit_suspicious_entities.py;backups/code_before_v06i_intelligence_20260706_151858/scripts/audit_suspicious_entities.py;backups/code_before_v06e_20260706_115352/scripts/audit_suspicious_entities.py,6,2874
7d4c4a96ad99a23218cf6b6423d222cb9d6f09bd9b6e9aa0a870f2cc68051d6f,scripts/backup_database.py;patches/v05M-R_异常中断恢复模板乱码与全站回归修复_完整覆盖补丁_staging/scripts/backup_database.py;backup_before_v05m_recovery_20260702_091828/scripts/backup_database.py;backups/code_before_v06i_nav_crawl_20260706_162150/scripts/backup_database.py;backups/code_before_v06i_intelligence_20260706_151858/scripts/backup_database.py;backups/code_before_v06e_20260706_115352/scripts/backup_database.py,6,441
d4658dfbe28f8ecfa9ad0e74ad582245845de9834246bc2cc9cd16369cf0c748,scripts/check_seed_data.py;patches/v05M-R_异常中断恢复模板乱码与全站回归修复_完整覆盖补丁_staging/scripts/check_seed_data.py;backup_before_v05m_recovery_20260702_091828/scripts/check_seed_data.py;backups/code_before_v06i_nav_crawl_20260706_162150/scripts/check_seed_data.py;backups/code_before_v06i_intelligence_20260706_151858/scripts/check_seed_data.py;backups/code_before_v06e_20260706_115352/scripts/check_seed_data.py,6,722
906b95e168dacfe40a4469bdda0e21c38fc4ffe7b0eadaed47f4a1b22c1be3ef,scripts/collect_v04d_context.py;patches/v05M-R_异常中断恢复模板乱码与全站回归修复_完整覆盖补丁_staging/scripts/collect_v04d_context.py;backup_before_v05m_recovery_20260702_091828/scripts/collect_v04d_context.py;backups/code_before_v06i_nav_crawl_20260706_162150/scripts/collect_v04d_context.py;backups/code_before_v06i_intelligence_20260706_151858/scripts/collect_v04d_context.py;backups/code_before_v06e_20260706_115352/scripts/collect_v04d_context.py,6,8342
42760ca5317c752dc84a0a0daefb8976faf4f3abc9855b36ea65d4da9dde37b0,scripts/export_database.py;patches/v05M-R_异常中断恢复模板乱码与全站回归修复_完整覆盖补丁_staging/scripts/export_database.py;backup_before_v05m_recovery_20260702_091828/scripts/export_database.py;backups/code_before_v06i_nav_crawl_20260706_162150/scripts/export_database.py;backups/code_before_v06i_intelligence_20260706_151858/scripts/export_database.py;backups/code_before_v06e_20260706_115352/scripts/export_database.py,6,1109
4a4247bdcbeacb9911a7af036f637ed1964d96f6fdacb22074a87352d3d3dafb,scripts/generate_historical_signals.py;patches/v05M-R_异常中断恢复模板乱码与全站回归修复_完整覆盖补丁_staging/scripts/generate_historical_signals.py;backup_before_v05m_recovery_20260702_091828/scripts/generate_historical_signals.py;backups/code_before_v06i_nav_crawl_20260706_162150/scripts/generate_historical_signals.py;backups/code_before_v06i_intelligence_20260706_151858/scripts/generate_historical_signals.py;backups/code_before_v06e_20260706_115352/scripts/generate_historical_signals.py,6,852
812c4b7a736c5e6f98d601d076613ed74cba8d15ae1db7df73d2e0e4f9770997,scripts/import_seed_data.py;patches/v05M-R_异常中断恢复模板乱码与全站回归修复_完整覆盖补丁_staging/scripts/import_seed_data.py;backup_before_v05m_recovery_20260702_091828/scripts/import_seed_data.py;backups/code_before_v06i_nav_crawl_20260706_162150/scripts/import_seed_data.py;backups/code_before_v06i_intelligence_20260706_151858/scripts/import_seed_data.py;backups/code_before_v06e_20260706_115352/scripts/import_seed_data.py,6,6323
d2045ce6cbe032f4973be34a33a3d51a913856230e05e5ce6231fee44488f692,scripts/init_database.py;patches/v05M-R_异常中断恢复模板乱码与全站回归修复_完整覆盖补丁_staging/scripts/init_database.py;backup_before_v05m_recovery_20260702_091828/scripts/init_database.py;backups/code_before_v06i_nav_crawl_20260706_162150/scripts/init_database.py;backups/code_before_v06i_intelligence_20260706_151858/scripts/init_database.py;backups/code_before_v06e_20260706_115352/scripts/init_database.py,6,359
b1d93a719ba0340e3af2d169dab61024da916ab02a0524b5f763ec3dca094a1d,scripts/migrate_sqlite_to_postgres.py;patches/v05M-R_异常中断恢复模板乱码与全站回归修复_完整覆盖补丁_staging/scripts/migrate_sqlite_to_postgres.py;backup_before_v05m_recovery_20260702_091828/scripts/migrate_sqlite_to_postgres.py;backups/code_before_v06i_nav_crawl_20260706_162150/scripts/migrate_sqlite_to_postgres.py;backups/code_before_v06i_intelligence_20260706_151858/scripts/migrate_sqlite_to_postgres.py;backups/code_before_v06e_20260706_115352/scripts/migrate_sqlite_to_postgres.py,6,1713
9a8eff704c666d52c2628fd072cf18b449bdfa2bf2fdefd6993ffd42cb050aea,scripts/pilot_real_sources.py;patches/v05M-R_异常中断恢复模板乱码与全站回归修复_完整覆盖补丁_staging/scripts/pilot_real_sources.py;backup_before_v05m_recovery_20260702_091828/scripts/pilot_real_sources.py;backups/code_before_v06i_nav_crawl_20260706_162150/scripts/pilot_real_sources.py;backups/code_before_v06i_intelligence_20260706_151858/scripts/pilot_real_sources.py;backups/code_before_v06e_20260706_115352/scripts/pilot_real_sources.py,6,4955
d418280295ddea172197eb8c5c62717001d5be1602cef815086f3ae6345aa65d,scripts/refresh_v04h_recommendations.py;patches/v05M-R_异常中断恢复模板乱码与全站回归修复_完整覆盖补丁_staging/scripts/refresh_v04h_recommendations.py;backup_before_v05m_recovery_20260702_091828/scripts/refresh_v04h_recommendations.py;backups/code_before_v06i_nav_crawl_20260706_162150/scripts/refresh_v04h_recommendations.py;backups/code_before_v06i_intelligence_20260706_151858/scripts/refresh_v04h_recommendations.py;backups/code_before_v06e_20260706_115352/scripts/refresh_v04h_recommendations.py,6,829
5d6cf330bb19c7167b65378b1a2b18de4485371b4eefc2d8f157aa6c15dd969b,scripts/restore_backup.py;patches/v05M-R_异常中断恢复模板乱码与全站回归修复_完整覆盖补丁_staging/scripts/restore_backup.py;backup_before_v05m_recovery_20260702_091828/scripts/restore_backup.py;backups/code_before_v06i_nav_crawl_20260706_162150/scripts/restore_backup.py;backups/code_before_v06i_intelligence_20260706_151858/scripts/restore_backup.py;backups/code_before_v06e_20260706_115352/scripts/restore_backup.py,6,1496
a716d0c31ed3268d95a64085f6226ec233944539a7fe9737f62226eda6e4fb1f,scripts/run_monitoring_once.py;patches/v05M-R_异常中断恢复模板乱码与全站回归修复_完整覆盖补丁_staging/scripts/run_monitoring_once.py;backup_before_v05m_recovery_20260702_091828/scripts/run_monitoring_once.py;backups/code_before_v06i_nav_crawl_20260706_162150/scripts/run_monitoring_once.py;backups/code_before_v06i_intelligence_20260706_151858/scripts/run_monitoring_once.py;backups/code_before_v06e_20260706_115352/scripts/run_monitoring_once.py,6,1350
6087fda987e729f1678c48e9af580c545e34af92131229008b8c33d96da3aa44,scripts/run_operational_pilot.py;patches/v05M-R_异常中断恢复模板乱码与全站回归修复_完整覆盖补丁_staging/scripts/run_operational_pilot.py;backup_before_v05m_recovery_20260702_091828/scripts/run_operational_pilot.py;backups/code_before_v06i_nav_crawl_20260706_162150/scripts/run_operational_pilot.py;backups/code_before_v06i_intelligence_20260706_151858/scripts/run_operational_pilot.py;backups/code_before_v06e_20260706_115352/scripts/run_operational_pilot.py,6,1792
d91045d6bdb9e82ac9535b5ca700e9a53c6719c624bf46a2a25c73f59c943687,scripts/run_pipeline_worker.py;patches/v05M-R_异常中断恢复模板乱码与全站回归修复_完整覆盖补丁_staging/scripts/run_pipeline_worker.py;backup_before_v05m_recovery_20260702_091828/scripts/run_pipeline_worker.py;backups/code_before_v06i_nav_crawl_20260706_162150/scripts/run_pipeline_worker.py;backups/code_before_v06i_intelligence_20260706_151858/scripts/run_pipeline_worker.py;backups/code_before_v06e_20260706_115352/scripts/run_pipeline_worker.py,6,2131
9548b98bbad4ed08d80d4a8fe6405c9df7cc947fdfa350899ab12f1cbdbb2902,scripts/run_report_worker.py;patches/v05M-R_异常中断恢复模板乱码与全站回归修复_完整覆盖补丁_staging/scripts/run_report_worker.py;backup_before_v05m_recovery_20260702_091828/scripts/run_report_worker.py;backups/code_before_v06i_nav_crawl_20260706_162150/scripts/run_report_worker.py;backups/code_before_v06i_intelligence_20260706_151858/scripts/run_report_worker.py;backups/code_before_v06e_20260706_115352/scripts/run_report_worker.py,6,1236
c96e3d829e796c291d877d1d779e8650a3301dc5ba2a625b95c0c5d0cca6c94d,scripts/run_scheduler.py;patches/v05M-R_异常中断恢复模板乱码与全站回归修复_完整覆盖补丁_staging/scripts/run_scheduler.py;backup_before_v05m_recovery_20260702_091828/scripts/run_scheduler.py;backups/code_before_v06i_nav_crawl_20260706_162150/scripts/run_scheduler.py;backups/code_before_v06i_intelligence_20260706_151858/scripts/run_scheduler.py;backups/code_before_v06e_20260706_115352/scripts/run_scheduler.py,6,2230
ebdd12d15424e67a758ab0428c5dcef602d771daa0fc80dca02578596c268178,scripts/run_signal_worker.py;patches/v05M-R_异常中断恢复模板乱码与全站回归修复_完整覆盖补丁_staging/scripts/run_signal_worker.py;backup_before_v05m_recovery_20260702_091828/scripts/run_signal_worker.py;backups/code_before_v06i_nav_crawl_20260706_162150/scripts/run_signal_worker.py;backups/code_before_v06i_intelligence_20260706_151858/scripts/run_signal_worker.py;backups/code_before_v06e_20260706_115352/scripts/run_signal_worker.py,6,785
e7397aac33256f707fe65c40693260347b42bd54931f7e09d2fe270d4bc906b9,scripts/run_worker.py;patches/v05M-R_异常中断恢复模板乱码与全站回归修复_完整覆盖补丁_staging/scripts/run_worker.py;backup_before_v05m_recovery_20260702_091828/scripts/run_worker.py;backups/code_before_v06i_nav_crawl_20260706_162150/scripts/run_worker.py;backups/code_before_v06i_intelligence_20260706_151858/scripts/run_worker.py;backups/code_before_v06e_20260706_115352/scripts/run_worker.py,6,2410
749aed26faecbea236db2576415d63e0a041321a159d9925a7aeb48b2e833805,scripts/seed_v04c1_demo.py;patches/v05M-R_异常中断恢复模板乱码与全站回归修复_完整覆盖补丁_staging/scripts/seed_v04c1_demo.py;backup_before_v05m_recovery_20260702_091828/scripts/seed_v04c1_demo.py;backups/code_before_v06i_nav_crawl_20260706_162150/scripts/seed_v04c1_demo.py;backups/code_before_v06i_intelligence_20260706_151858/scripts/seed_v04c1_demo.py;backups/code_before_v06e_20260706_115352/scripts/seed_v04c1_demo.py,6,3780
513b4bba0c1873afb7a388fcfc020d34284da24c9f5fe568971a53899bb0e41e,scripts/seed_v04c_demo.py;patches/v05M-R_异常中断恢复模板乱码与全站回归修复_完整覆盖补丁_staging/scripts/seed_v04c_demo.py;backup_before_v05m_recovery_20260702_091828/scripts/seed_v04c_demo.py;backups/code_before_v06i_nav_crawl_20260706_162150/scripts/seed_v04c_demo.py;backups/code_before_v06i_intelligence_20260706_151858/scripts/seed_v04c_demo.py;backups/code_before_v06e_20260706_115352/scripts/seed_v04c_demo.py,6,2513
8ebaa1661e9a43e7c68b434bce7661c9bcd006f7fc2484b56c4f13fa106f773c,scripts/seed_v04db_demo.py;patches/v05M-R_异常中断恢复模板乱码与全站回归修复_完整覆盖补丁_staging/scripts/seed_v04db_demo.py;backup_before_v05m_recovery_20260702_091828/scripts/seed_v04db_demo.py;backups/code_before_v06i_nav_crawl_20260706_162150/scripts/seed_v04db_demo.py;backups/code_before_v06i_intelligence_20260706_151858/scripts/seed_v04db_demo.py;backups/code_before_v06e_20260706_115352/scripts/seed_v04db_demo.py,6,1356
c52b61c1c17484cd4f00057b955d57e3a09dbaabdda29264c8e0a1d51e81da8e,scripts/seed_v04d_demo.py;patches/v05M-R_异常中断恢复模板乱码与全站回归修复_完整覆盖补丁_staging/scripts/seed_v04d_demo.py;backup_before_v05m_recovery_20260702_091828/scripts/seed_v04d_demo.py;backups/code_before_v06i_nav_crawl_20260706_162150/scripts/seed_v04d_demo.py;backups/code_before_v06i_intelligence_20260706_151858/scripts/seed_v04d_demo.py;backups/code_before_v06e_20260706_115352/scripts/seed_v04d_demo.py,6,4100
97585d81631e8eba3926fee88245719eafe165b9833d58333cfdc574eb6c6c0e,scripts/seed_v04e_demo.py;patches/v05M-R_异常中断恢复模板乱码与全站回归修复_完整覆盖补丁_staging/scripts/seed_v04e_demo.py;backup_before_v05m_recovery_20260702_091828/scripts/seed_v04e_demo.py;backups/code_before_v06i_nav_crawl_20260706_162150/scripts/seed_v04e_demo.py;backups/code_before_v06i_intelligence_20260706_151858/scripts/seed_v04e_demo.py;backups/code_before_v06e_20260706_115352/scripts/seed_v04e_demo.py,6,2055
e0015ba9c6b3624f8c147d27e3c11d1f9958b23aff71bedce267c933ac274c8d,scripts/self_check.py;patches/v05M-R_异常中断恢复模板乱码与全站回归修复_完整覆盖补丁_staging/scripts/self_check.py;backup_before_v05m_recovery_20260702_091828/scripts/self_check.py;backups/code_before_v06i_nav_crawl_20260706_162150/scripts/self_check.py;backups/code_before_v06i_intelligence_20260706_151858/scripts/self_check.py;backups/code_before_v06e_20260706_115352/scripts/self_check.py,6,2368
b06561ab60308650378353da1a751b9c2bb8f4310109a6001674290933b06dd7,scripts/self_check_v03c.py;patches/v05M-R_异常中断恢复模板乱码与全站回归修复_完整覆盖补丁_staging/scripts/self_check_v03c.py;backup_before_v05m_recovery_20260702_091828/scripts/self_check_v03c.py;backups/code_before_v06i_nav_crawl_20260706_162150/scripts/self_check_v03c.py;backups/code_before_v06i_intelligence_20260706_151858/scripts/self_check_v03c.py;backups/code_before_v06e_20260706_115352/scripts/self_check_v03c.py,6,450
9edd27fcaabe4dfb3b3b55647cfb43ef59d6b263e97c2a019c923ed48f81f04a,scripts/self_check_v04a.py;patches/v05M-R_异常中断恢复模板乱码与全站回归修复_完整覆盖补丁_staging/scripts/self_check_v04a.py;backup_before_v05m_recovery_20260702_091828/scripts/self_check_v04a.py;backups/code_before_v06i_nav_crawl_20260706_162150/scripts/self_check_v04a.py;backups/code_before_v06i_intelligence_20260706_151858/scripts/self_check_v04a.py;backups/code_before_v06e_20260706_115352/scripts/self_check_v04a.py,6,1066
2aaf9fee49d98a588731ab3dc2be20d0cd536abfdf47d0a4dd8670f8eddb3307,scripts/test_entity_analyzer.py;patches/v05M-R_异常中断恢复模板乱码与全站回归修复_完整覆盖补丁_staging/scripts/test_entity_analyzer.py;backup_before_v05m_recovery_20260702_091828/scripts/test_entity_analyzer.py;backups/code_before_v06i_nav_crawl_20260706_162150/scripts/test_entity_analyzer.py;backups/code_before_v06i_intelligence_20260706_151858/scripts/test_entity_analyzer.py;backups/code_before_v06e_20260706_115352/scripts/test_entity_analyzer.py,6,974
4e6d90b709089376fc1c35af23cbf6a2459af12efd914380b2179b4f13a73f8f,scripts/test_paste_analyzer.py;patches/v05M-R_异常中断恢复模板乱码与全站回归修复_完整覆盖补丁_staging/scripts/test_paste_analyzer.py;backup_before_v05m_recovery_20260702_091828/scripts/test_paste_analyzer.py;backups/code_before_v06i_nav_crawl_20260706_162150/scripts/test_paste_analyzer.py;backups/code_before_v06i_intelligence_20260706_151858/scripts/test_paste_analyzer.py;backups/code_before_v06e_20260706_115352/scripts/test_paste_analyzer.py,6,1023
95863733c0cb1c7afdd4c595c1a29af898422bc670d038128085838662a14387,scripts/test_web_extractor.py;patches/v05M-R_异常中断恢复模板乱码与全站回归修复_完整覆盖补丁_staging/scripts/test_web_extractor.py;backup_before_v05m_recovery_20260702_091828/scripts/test_web_extractor.py;backups/code_before_v06i_nav_crawl_20260706_162150/scripts/test_web_extractor.py;backups/code_before_v06i_intelligence_20260706_151858/scripts/test_web_extractor.py;backups/code_before_v06e_20260706_115352/scripts/test_web_extractor.py,6,627
661d5c4c3322e8a104f4ad111567c8624b5d12f176c2014450010ce3fe51593b,scripts/verify_backup_restore.py;patches/v05M-R_异常中断恢复模板乱码与全站回归修复_完整覆盖补丁_staging/scripts/verify_backup_restore.py;backup_before_v05m_recovery_20260702_091828/scripts/verify_backup_restore.py;backups/code_before_v06i_nav_crawl_20260706_162150/scripts/verify_backup_restore.py;backups/code_before_v06i_intelligence_20260706_151858/scripts/verify_backup_restore.py;backups/code_before_v06e_20260706_115352/scripts/verify_backup_restore.py,6,1618
38aac056ae65ac04f09e286c601f76b04760c2b9aae8734c43050ccde5e07295,scripts/verify_manual_ingestion.py;patches/v05M-R_异常中断恢复模板乱码与全站回归修复_完整覆盖补丁_staging/scripts/verify_manual_ingestion.py;backup_before_v05m_recovery_20260702_091828/scripts/verify_manual_ingestion.py;backups/code_before_v06i_nav_crawl_20260706_162150/scripts/verify_manual_ingestion.py;backups/code_before_v06i_intelligence_20260706_151858/scripts/verify_manual_ingestion.py;backups/code_before_v06e_20260706_115352/scripts/verify_manual_ingestion.py,6,3184
ef09600d00a33ac3b8e1267787bbcc591f2dd5cb8c1b452b6dcdf4e6c8da3a1e,scripts/verify_v04d3_batch_people.py;patches/v05M-R_异常中断恢复模板乱码与全站回归修复_完整覆盖补丁_staging/scripts/verify_v04d3_batch_people.py;backup_before_v05m_recovery_20260702_091828/scripts/verify_v04d3_batch_people.py;backups/code_before_v06i_nav_crawl_20260706_162150/scripts/verify_v04d3_batch_people.py;backups/code_before_v06i_intelligence_20260706_151858/scripts/verify_v04d3_batch_people.py;backups/code_before_v06e_20260706_115352/scripts/verify_v04d3_batch_people.py,6,6260
0c3391b50e87abe1ad0842d3de28618aa88c1105a49b0003b213e027b1335645,scripts/verify_v04d4_links_and_review.py;patches/v05M-R_异常中断恢复模板乱码与全站回归修复_完整覆盖补丁_staging/scripts/verify_v04d4_links_and_review.py;backup_before_v05m_recovery_20260702_091828/scripts/verify_v04d4_links_and_review.py;backups/code_before_v06i_nav_crawl_20260706_162150/scripts/verify_v04d4_links_and_review.py;backups/code_before_v06i_intelligence_20260706_151858/scripts/verify_v04d4_links_and_review.py;backups/code_before_v06e_20260706_115352/scripts/verify_v04d4_links_and_review.py,6,9177
8e7988e39fdf2ad3b4eb8675a371ee6adf0dc9da4cc556a1713a58a530bb58ff,scripts/verify_v04d_search.py;patches/v05M-R_异常中断恢复模板乱码与全站回归修复_完整覆盖补丁_staging/scripts/verify_v04d_search.py;backup_before_v05m_recovery_20260702_091828/scripts/verify_v04d_search.py;backups/code_before_v06i_nav_crawl_20260706_162150/scripts/verify_v04d_search.py;backups/code_before_v06i_intelligence_20260706_151858/scripts/verify_v04d_search.py;backups/code_before_v06e_20260706_115352/scripts/verify_v04d_search.py,6,2456
b090e78627dd56084acc9281e5a44862efa1af456d50d033f95360970fe50a16,scripts/verify_v04f.py;patches/v05M-R_异常中断恢复模板乱码与全站回归修复_完整覆盖补丁_staging/scripts/verify_v04f.py;backup_before_v05m_recovery_20260702_091828/scripts/verify_v04f.py;backups/code_before_v06i_nav_crawl_20260706_162150/scripts/verify_v04f.py;backups/code_before_v06i_intelligence_20260706_151858/scripts/verify_v04f.py;backups/code_before_v06e_20260706_115352/scripts/verify_v04f.py,6,12588
e33f37b46f29c34d7cf221c8399cfe4d07acb842f4ebd5194cba6150a1c6fffb,scripts/verify_v04g.py;patches/v05M-R_异常中断恢复模板乱码与全站回归修复_完整覆盖补丁_staging/scripts/verify_v04g.py;backup_before_v05m_recovery_20260702_091828/scripts/verify_v04g.py;backups/code_before_v06i_nav_crawl_20260706_162150/scripts/verify_v04g.py;backups/code_before_v06i_intelligence_20260706_151858/scripts/verify_v04g.py;backups/code_before_v06e_20260706_115352/scripts/verify_v04g.py,6,10367
14db72592b1c0b98722c9fc85fd993a7661e0cca1a3a6e4e49063fbd3493530b,scripts/verify_v04h.py;patches/v05M-R_异常中断恢复模板乱码与全站回归修复_完整覆盖补丁_staging/scripts/verify_v04h.py;backup_before_v05m_recovery_20260702_091828/scripts/verify_v04h.py;backups/code_before_v06i_nav_crawl_20260706_162150/scripts/verify_v04h.py;backups/code_before_v06i_intelligence_20260706_151858/scripts/verify_v04h.py;backups/code_before_v06e_20260706_115352/scripts/verify_v04h.py,6,10037
c97434449462ca8af734d8047d935dc6abefb8add1c708267858b551fd064269,scripts/verify_v05b.py;patches/v05M-R_异常中断恢复模板乱码与全站回归修复_完整覆盖补丁_staging/scripts/verify_v05b.py;backup_before_v05m_recovery_20260702_091828/scripts/verify_v05b.py;backups/code_before_v06i_nav_crawl_20260706_162150/scripts/verify_v05b.py;backups/code_before_v06i_intelligence_20260706_151858/scripts/verify_v05b.py;backups/code_before_v06e_20260706_115352/scripts/verify_v05b.py,6,8692
65d123be6532facc778613be7336651573eb63f05727c4997b43e993175b305e,scripts/verify_v05e.py;patches/v05M-R_异常中断恢复模板乱码与全站回归修复_完整覆盖补丁_staging/scripts/verify_v05e.py;backup_before_v05m_recovery_20260702_091828/scripts/verify_v05e.py;backups/code_before_v06i_nav_crawl_20260706_162150/scripts/verify_v05e.py;backups/code_before_v06i_intelligence_20260706_151858/scripts/verify_v05e.py;backups/code_before_v06e_20260706_115352/scripts/verify_v05e.py,6,10242
